Extension,Load
0,0.002039432
0.00198,1.33276909
0.00273,2.735898599
0.00343,4.247118027
0.00396,5.683898171
0.0045,7.211433058
0.00498,8.763441134
0.00546,10.31340978
0.00595,11.83992495
0.00643,13.3338092
0.00696,14.75835275
0.00745,16.10437815
0.00793,17.40247689
0.00841,18.70159535
0.00889,19.97726033
0.00954,21.4160799
0.01012,22.79575594
0.01071,24.21520091
0.01125,25.64892191
0.01184,26.95109951
0.01264,28.22778421
0.01355,29.57788847
0.015,30.8688492
0.01623,32.15879021
0.01784,33.46096781
0.02271,34.33792376
0.02786,35.21182055
0.03284,36.02249494
0.03787,35.62888448
0.0428,35.46165102
0.04784,35.32093019
0.05282,35.23833317
0.0578,35.37701458
0.06273,35.25056977
0.06787,35.36375827
0.07275,35.35152167
0.07784,35.27096409
0.08277,35.36783713
0.08791,35.46063131
0.09278,35.29135841
0.09787,35.3341865
0.10286,35.50549882
0.10778,35.25464863
0.11282,35.55342548
0.11791,35.49734109
0.12289,35.43207925
0.12782,35.50345939
0.13286,35.45043414
0.13795,35.68802802
0.14293,35.7308561
0.14796,35.62276618
0.15289,35.60950987
0.15798,35.60441129
0.16286,35.5605635
0.16789,35.60135214
0.17293,35.57687895
0.17802,35.5605635
0.18284,35.52997201
0.18798,35.62072675
0.1928,35.60645072
0.19789,35.88891212
0.20282,35.92256275
0.20786,35.85526148
0.21284,35.65641682
0.21782,35.68089001
0.2228,35.48918336
0.22789,35.6176676
0.23277,35.63194363
0.23775,35.70842235
0.24284,35.81345312
0.24787,35.93479935
0.2528,36.01739636
0.25784,36.12752571
0.26282,35.96743026
0.2678,35.98782459
0.27284,35.96029225
0.27777,36.0265738
0.28291,36.16423549
0.28784,36.32535065
0.29287,36.28252257
0.29775,36.16525521
0.30289,36.31107463
0.30777,36.3345281
0.31286,36.49666298
0.31784,36.42630256
0.32277,36.36919845
0.3278,36.50584042
0.33289,36.4854461
0.33782,36.48340667
0.3428,36.30495633
0.34779,36.44567717
0.35293,36.44057859
0.3578,36.58129942
0.36289,36.62106836
0.36782,36.88619457
0.37296,36.9820479
0.37779,36.95859442
0.38287,37.04323087
0.38791,37.00550137
0.39295,36.99224506
0.39787,36.89231287
0.40296,36.72711884
0.40789,36.97898875
0.41293,37.1523405
0.41786,37.15132079
0.42289,37.17681369
0.42782,37.19516858
0.43291,37.2777656
0.43784,37.27266702
0.44293,37.33486971
0.4478,37.41542729
0.45284,37.41440757
0.45777,37.32977112
0.46291,37.39605268
0.46773,37.27572617
0.47282,37.33384999
0.4778,37.1268476
0.48284,37.33894857
0.48777,37.20128688
0.49275,37.31651481
0.49784,37.31039652
0.50282,37.43786104
0.5078,37.24717411
0.51278,37.21760234
0.51787,37.29204162
0.5228,37.34200772
0.52784,37.47049196
0.53287,37.47049196
0.53775,37.52759607
0.54279,37.56022699
0.54787,37.55614812
0.5528,37.56430585
0.55784,37.60101564
0.56277,37.78252512
0.56791,37.82331377
0.57279,37.94669943
0.57782,37.90285164
0.5827,37.83351093
0.58789,37.7998603
0.59277,37.63976485
0.59786,37.89469391
0.60278,37.85798412
0.60787,37.94058114
0.6128,37.93446284
0.61789,38.04765134
0.62287,38.18225388
0.62791,38.19449047
0.63289,38.21284537
0.63793,38.23018054
0.64286,38.05886822
0.64795,38.05478935
0.65287,37.93140369
0.65791,38.26281146
0.66284,38.19041161
0.66793,38.27912692
0.6728,38.22100309
0.678,38.36274365
0.68277,38.36988166
0.68791,38.37090138
0.69284,38.36682251
0.69782,38.43616322
0.70286,38.397414
0.70784,38.53405597
0.71277,38.63704731
0.71791,38.63908674
0.72278,38.48205045
0.72782,38.41270974
0.7328,38.33215216
0.73784,38.44330123
0.74277,38.42596605
0.74791,38.472873
0.75273,38.38925627
0.75782,38.45961669
0.7628,38.48510959
0.76778,38.58912065
0.77287,38.6554022
0.7778,38.84812857
0.78289,38.93480444
0.78782,38.86954261
0.79286,38.67987539
0.79773,38.72576262
0.80287,38.88687778
0.8077,38.90829182
0.81289,38.92868615
0.81777,38.96131707
0.82291,38.97967196
0.82773,39.01842117
0.83282,39.07348585
0.83775,39.19279265
0.84284,39.2906854
0.84782,39.3722627
0.85291,39.40285419
0.85779,39.37634156
0.86287,39.51604269
0.86786,39.53031871
0.87289,39.63127062
0.87782,39.34371065
0.88296,39.55989048
0.88789,39.39469646
0.89298,39.50380609
0.8978,39.53949616
0.90295,39.52623985
0.90787,39.60577771
0.91286,39.42426823
0.91789,39.48749063
0.92293,39.60577771
0.9278,39.60067913
0.93295,39.58232424
0.93777,39.5109441
0.94286,39.61087629
0.94779,39.63331005
0.95293,39.82297727
0.95775,39.81991812
0.963,39.97185583
0.96771,39.86172648
0.97286,39.94432349
0.97773,39.95554037
0.98282,40.00550647
0.9878,40.17172021
0.99284,40.40625494
0.99787,40.37566345
1.00286,40.1584639
1.00778,40.26043552
1.01277,40.02386136
1.01786,40.07586689
1.02273,40.02692051
1.02787,40.14826674
1.0328,40.24615949
1.03789,40.16662163
