Extension,Load
0,0.004078865
0.00413,1.377636604
0.00461,2.662479032
0.00504,3.94732146
0.00547,5.372884726
0.00579,6.859630965
0.00616,8.329042028
0.00654,9.765822172
0.00691,11.18934601
0.00739,12.60777126
0.00777,14.01599935
0.0082,15.42014857
0.00863,16.84367241
0.00905,18.30798489
0.00948,19.81614517
0.00991,21.33144346
0.01034,22.80901225
0.01071,24.22947694
0.01109,25.59997553
0.01146,26.93886291
0.01189,28.26857286
0.01227,29.58502649
0.01264,30.88006608
0.01313,32.46980365
0.01361,34.02691031
0.01409,35.56362264
0.01463,37.08401952
0.01511,38.60237696
0.01559,40.10951752
0.01602,41.56975114
0.0165,42.90659909
0.01709,44.26180194
0.01784,45.5425655
0.01875,46.84270368
0.01972,48.23869517
0.02079,49.62652894
0.02191,50.91850938
0.02368,52.2094701
0.02502,53.51878572
0.02609,54.89438289
0.02796,56.19758021
0.033,57.26828224
0.03782,58.55720353
0.04297,58.45625163
0.04795,57.93211749
0.05293,58.052444
0.05786,59.10683057
0.06295,59.18636843
0.06788,59.23327538
0.07291,59.84612482
0.07784,60.25095216
0.08298,60.60173454
0.08786,60.83117069
0.09295,60.87297905
0.09788,60.94843805
0.10302,61.24823462
0.10789,61.31757532
0.11298,61.6683577
0.11791,61.98752887
0.12289,62.63198952
0.12793,62.78596667
0.13302,62.34748869
0.13795,62.75129631
0.14293,63.49466943
0.14797,63.12043358
0.15305,63.79242657
0.15798,64.20847078
0.16307,63.62927197
0.168,64.76829498
0.17304,65.31588259
0.17796,65.49841179
0.183,65.31180373
0.18804,66.05109798
0.19307,65.88080537
0.19795,66.05721628
0.20304,66.88114698
0.20791,67.18400269
0.213,67.18298298
0.21788,66.90256102
0.22296,67.5806723
0.22789,67.67958477
0.23293,66.77713592
0.23791,66.54158148
0.24263,67.83458164
0.24761,67.41445856
0.25254,67.88148858
0.25763,69.08577343
0.26261,69.02153131
0.26764,69.00725528
0.27263,70.21255984
0.27766,70.38285245
0.28264,70.37775387
0.28763,70.47564663
0.29255,71.12724529
0.2977,70.7254771
0.30257,71.55144723
0.30766,71.63608368
0.31254,71.33730683
0.31768,71.82473118
0.32255,72.50692132
0.32764,71.8512438
0.33263,73.11773134
