Extension,Load
0,0.049966094
0.00482,1.517337725
0.00541,3.036714882
0.00589,4.599939837
0.00627,5.965339846
0.00664,7.362351058
0.00707,8.758342553
0.00745,10.14413689
0.00782,11.53604952
0.0082,12.94223818
0.00857,14.3525057
0.009,15.75461549
0.00943,17.14346897
0.00986,18.53946047
0.01028,19.9752209
0.01061,21.44361224
0.01098,22.89670785
0.01136,24.28658104
0.01173,25.59895581
0.01227,27.16829906
0.0128,28.74478033
0.01323,30.04287907
0.01366,31.34505667
0.01414,32.62683995
0.01468,34.15131569
0.01516,35.49428194
0.01591,36.87701713
0.02084,37.90285164
0.02593,38.85832573
0.03086,39.59761998
0.03589,40.20842999
0.04087,40.33691424
0.04596,40.28184956
0.05084,40.20741028
0.05598,40.36648601
0.06086,40.40217607
0.06595,40.58980386
0.07087,40.93548765
0.07602,40.94874396
0.08089,41.045617
0.08603,41.10679998
0.0908,41.36682761
0.096,41.29340804
0.10082,41.14249005
0.10591,41.06907048
0.11084,41.09456338
0.11593,41.15064777
0.12086,41.11291827
0.126,41.41679371
0.13082,41.31788123
0.13586,41.28015173
0.14084,41.4035374
0.14582,41.3658079
0.15086,41.29238833
0.15589,41.44228661
0.16082,41.35459102
0.16591,41.37396563
0.17078,41.46370065
0.17582,41.44228661
0.1808,41.60748064
0.18578,41.65336787
0.19093,41.58096802
0.1957,41.8063253
0.20084,41.62685525
0.20582,41.75126062
0.21086,41.64724957
0.21573,41.7685958
0.22087,41.65132844
0.2258,41.77981268
0.23089,41.89606033
0.23577,41.83691679
0.24086,41.9072772
0.24584,41.99599252
0.25082,42.00720939
0.2558,42.25805958
0.26095,42.1081613
0.26582,42.03474173
0.27091,41.95826302
0.27584,42.12957534
0.28098,42.24174412
0.28586,42.25092157
0.29095,42.31006511
0.29587,42.27131589
0.30091,42.44058878
0.30584,42.47016055
0.31103,42.72916847
0.31591,42.58844764
0.32095,42.5170675
0.32587,42.62005884
0.33096,42.59558565
0.33589,42.48035772
0.34098,42.72712904
0.34591,42.79850917
0.35095,43.02998476
0.35587,42.8505147
0.36091,43.05955653
0.36584,43.10238461
0.37093,43.10238461
0.3758,43.06261567
0.38095,43.23800686
0.38577,43.25738147
0.39086,43.43277266
0.39578,43.38076713
0.40082,43.47152188
0.40586,43.63263704
0.41078,43.56941463
0.41587,43.53066542
0.42086,43.68566228
0.42584,43.65507079
0.43077,43.40524032
0.43591,43.67750455
0.44084,43.77539731
0.44587,43.67852427
0.4508,43.79069305
0.45589,43.87634921
0.46082,44.02726721
0.46586,44.15575145
0.47078,44.12515997
0.47593,44.21999358
0.4808,44.05072068
0.48589,44.2403879
0.49077,44.21795414
0.49591,44.22611187
0.50078,44.48104093
0.50593,44.43107483
0.51086,44.72679253
0.51584,44.48308036
0.52087,44.86343451
0.52596,44.91238088
0.53089,45.00007648
0.53587,45.05106229
0.54086,45.06635803
0.546,45.11734384
0.55093,45.12040299
0.55596,45.07655519
0.56095,45.14691561
0.56598,45.37125318
0.57091,45.4100024
0.57595,45.4416136
0.58093,45.51605288
0.58602,45.34474056
0.59084,45.28355759
0.59598,45.33862226
0.60086,45.49055998
0.60595,45.72203556
0.61082,45.75670591
0.61591,45.56295983
0.62084,45.80973115
0.62587,45.87601271
0.63086,45.76282421
0.63589,45.98818149
0.64082,46.12890233
0.64575,46.16663183
0.65079,46.12176431
0.65587,46.11564602
0.6608,46.19722331
0.66584,46.41340315
0.67082,46.50517761
0.67586,46.53780853
0.68084,46.60409008
0.68577,46.73257432
0.69091,46.65813504
0.69584,46.73053489
0.70087,46.69892369
0.70575,46.75092922
0.71095,46.73971234
0.71577,46.72849546
0.72091,46.9324387
0.72584,46.81313191
0.73077,46.94569501
0.7358,46.95997104
0.74089,47.09661301
0.74582,47.05276522
0.75086,47.10681017
0.75584,47.15983542
0.76093,47.15065797
0.76586,47.24753101
0.77089,47.23529442
0.77582,47.38825185
0.78096,47.44637567
0.78584,47.37091667
0.79093,47.48104602
0.79591,47.33522661
0.801,47.42394192
0.80587,47.36173923
0.81096,47.49430234
0.81584,47.58811623
0.82098,47.69416671
0.82586,47.6431809
0.83095,47.72169905
0.83587,47.80531578
0.84096,47.82061152
0.84589,47.90524797
0.85093,47.92768173
0.85586,47.98784498
0.86084,47.99702243
0.86582,47.96031264
0.87091,48.00416044
0.87573,48.02761392
0.88087,48.16935447
0.8858,48.23971489
0.89084,48.31415417
0.89582,48.34984424
0.9008,48.25705006
0.90584,48.35698225
0.91087,48.17547277
0.9158,48.45793416
0.92078,48.50076224
0.92587,48.61904932
0.9308,48.60783244
0.93584,48.61497045
0.94093,48.6557591
0.94575,48.65066052
0.95084,48.73019839
0.95587,48.88723468
0.9608,48.99124574
0.96584,49.06364559
0.97077,49.04427098
0.97591,49.0391724
0.98078,48.99124574
0.98587,49.06772445
0.99075,49.14930175
0.99589,49.27064798
1.00077,49.16867636
1.00591,49.36242244
1.01084,49.32673237
1.01593,49.32775209
1.0208,49.39811251
1.02589,49.44705888
1.03087,49.40219137
1.03591,49.60103603
1.04089,49.66527815
1.04598,49.68261333
1.05086,49.76215119
1.05595,49.75909204
1.06087,49.78968353
1.06596,49.87431998
1.07089,49.79988069
1.07598,49.8508665
1.08086,49.87228054
1.086,49.9263255
1.09082,50.04971117
1.09591,50.08438152
1.10084,50.24447696
1.10587,50.27914731
1.11086,50.40457241
1.11584,50.45555822
1.12077,50.30565993
1.12591,50.08132237
1.13078,50.32197539
1.13577,50.12517017
1.14075,50.54019466
1.14584,50.62075224
1.15077,50.68499437
1.15596,50.71354642
1.16073,50.64420572
1.16582,50.60851565
1.1708,50.71558585
1.17584,50.94910087
1.18087,50.98071207
1.1858,50.89301647
1.19089,50.95929803
1.19587,51.01640214
1.20086,51.14386666
1.20573,51.27642977
1.21093,51.2723509
1.2157,51.29988324
1.22089,51.32129728
1.22577,51.26419318
1.23091,51.29478466
1.23578,51.36514508
1.24082,51.63333044
1.2458,51.63842903
1.25089,51.6873754
1.25582,51.59050236
1.26096,51.64454732
1.26578,51.699612
1.27087,51.70776973
1.27586,51.82503709
1.28095,51.94128474
1.28587,51.8444117
1.29096,52.0585521
1.29589,52.08914359
1.30098,52.12279423
1.30586,52.0585521
1.31095,52.17479975
1.31587,52.11565621
1.32091,52.10953792
1.32589,52.26861364
1.33093,52.3603881
1.33586,52.41137391
1.34095,52.378743
1.34577,52.29818541
1.35086,52.2094701
1.35578,52.54393702
1.36093,52.60206085
1.3658,52.63877063
1.371,52.69281559
1.37571,52.68975644
1.38091,52.7438014
1.38578,52.86412791
1.39082,52.93142918
1.3958,52.93142918
1.40084,52.91613344
1.40587,52.96202067
1.41091,52.96813897
1.41584,53.2281666
1.42077,53.15168789
1.42586,53.3352368
1.43073,53.14760902
1.43587,53.33931567
1.44086,53.38928176
1.44589,53.35155226
1.45082,53.51062799
1.4558,53.53918005
1.46078,53.66664457
1.46587,53.60036302
1.4708,53.44128729
1.47595,53.56875182
1.48071,53.67888117
1.48586,53.79512882
1.49084,53.85835122
1.49593,53.91443561
1.5008,53.92055391
1.50589,53.98071717
1.51082,54.09288595
1.51596,54.06331418
1.52084,54.11837886
1.52593,54.00213121
1.53091,54.17242381
1.53589,54.16426608
1.54093,54.26011941
1.54596,54.29478976
1.55089,54.34577557
1.55598,54.43143173
1.56086,54.3539333
1.566,54.54665966
1.57082,54.50587102
1.57602,54.57113285
1.58089,54.60376377
1.58603,54.74754376
1.5908,54.81892389
1.596,54.86481112
1.60082,54.76997752
1.60586,54.79037184
1.61084,54.85461396
1.61593,54.97188133
1.62086,55.08201068
1.62595,55.14523308
1.63082,55.17480485
1.63586,55.21865265
1.64084,55.18806116
1.64582,55.23904697
1.65086,55.27575676
1.65584,55.38996497
1.66082,55.49397603
1.66591,55.49499574
1.67079,55.50111404
1.67577,55.45726624
1.6808,55.53374496
1.68579,55.57861247
1.69093,55.65917005
1.69575,55.79275288
1.70089,55.87840904
1.70582,55.86107386
1.71091,55.87229074
1.71578,55.85801471
1.72087,55.89574421
1.7258,55.94774974
1.73089,56.07929313
1.73582,55.99669612
1.74091,56.11192405
1.74584,56.09866774
1.75087,56.27915751
1.75586,56.30668985
1.76095,56.36379396
1.76587,56.39948402
1.77091,56.38316856
1.77584,56.4484304
1.78098,56.36379396
1.78586,56.69316229
1.79095,56.75128612
1.79593,56.75536498
1.80096,56.66562996
1.80584,56.73089179
1.81098,56.84815916
1.81591,56.80227193
1.82095,56.92769702
1.82593,57.01131375
1.83096,57.0582207
1.83589,57.10002906
1.84098,57.11532481
1.84591,57.21729643
1.85095,57.29377514
1.85587,57.31926805
1.86091,57.19384295
1.86584,57.36719471
1.87093,57.33864266
1.8758,57.38147074
1.88095,57.38147074
1.88577,57.62212376
1.89086,57.72613482
1.89578,57.72103624
1.90082,57.60988717
1.90586,57.74958829
1.91079,57.70268134
1.91587,57.79853467
1.92086,57.92497948
1.92584,58.02389195
1.93077,57.97902444
1.93586,58.06672003
1.94084,58.04224684
1.94587,58.14319875
1.9508,58.1462579
1.95589,58.18296768
1.96082,58.20744087
1.96586,58.35529972
1.97078,58.32470823
1.97593,58.35020114
1.9808,58.28188015
1.98589,58.49704027
1.99077,58.55210495
1.99591,58.51437545
2.00078,58.60411048
2.00593,58.71220039
2.01091,58.64387941
2.01584,58.65101742
2.02082,58.71118068
2.02596,58.75502848
2.03089,58.82742833
2.03587,58.76420592
2.04086,58.95285342
2.046,58.78765939
2.05093,58.96916888
2.05596,58.85598038
2.06095,59.03035185
2.06598,59.14557979
2.07091,59.22511765
2.07595,59.27814289
2.08087,59.30057665
2.08596,59.30465551
2.09089,59.3097541
2.09598,59.4229426
2.1008,59.486165
2.10595,59.54530854
2.11082,59.52185507
2.11586,59.57997889
2.12084,59.59527464
2.12582,59.62280697
2.1308,59.73191661
2.13584,59.84102624
2.14077,59.9328007
2.14575,59.87773603
2.15084,60.01845686
2.15587,60.03477232
2.1608,59.95931332
2.16579,60.0837187
2.17082,60.13164536
2.17586,60.14490167
2.18084,60.16325657
2.18577,60.22749869
2.19091,60.2723662
2.19584,60.21934096
2.20087,60.29276052
2.20575,60.46509256
2.21095,60.52219667
2.21577,60.53749242
2.22091,60.60275425
2.22584,60.58847823
2.23082,60.55074873
2.2358,60.62824716
2.24095,60.6374246
2.24582,60.71390332
2.25086,60.86686075
2.25584,60.95455635
2.26093,60.98106897
2.26586,60.98412812
2.27089,61.03205478
2.27587,61.06876456
2.28096,61.18603193
2.28584,61.22784029
2.29093,61.30329929
2.29591,61.34102879
2.301,61.32369362
2.30587,61.25537263
2.31096,61.38589631
2.31589,61.48174963
2.32098,61.50112424
2.32591,61.57964239
2.33095,61.62654933
2.33587,61.54497203
2.34091,61.6306282
2.34589,61.63368734
2.35093,61.60105643
2.35586,61.79684194
2.36084,61.69792947
2.36582,61.85598548
2.37086,61.72648152
2.37573,61.75503357
2.38087,61.97937114
2.3858,62.05584986
2.39084,62.15680176
2.39582,62.26183253
2.40075,62.22716218
2.40584,62.18331438
2.41087,62.11397368
2.4158,62.17311722
2.42078,62.37706046
2.42587,62.38011961
2.4308,62.52797846
2.43584,62.58916144
2.44087,62.5677474
2.4458,62.63810781
2.45084,62.76251319
2.45587,62.84103134
2.4608,62.79514411
2.46589,62.92566779
2.47082,62.92158892
2.47591,62.84511021
2.48078,62.76455263
2.48587,62.84103134
2.49075,63.0143831
2.49595,63.10207869
2.50077,63.19895173
2.50591,63.1653011
2.51084,63.28562761
2.51593,63.31723881
2.5208,63.37230349
2.52589,63.54769468
2.53087,63.48753142
2.53591,63.52730035
2.54089,63.59154247
2.54598,63.52933978
2.55086,63.63539027
2.55595,63.49772858
2.56093,63.73430274
2.56596,63.75367735
2.57089,63.85870812
2.57598,63.80466316
2.58086,63.94028542
2.58595,64.020843
2.59077,63.94946286
2.59591,64.01370499
2.60084,64.03919789
2.60582,64.03715846
2.61086,64.15850469
2.61584,64.24416085
2.62082,64.32573815
2.62591,64.35938878
2.63078,64.33287616
2.63577,64.38386197
2.6408,64.41037459
2.64584,64.43994636
2.65077,64.40017743
2.65591,64.5806672
2.66073,64.69283598
2.66582,64.63063329
2.6708,64.55415458
2.67584,64.65510648
2.68087,64.68977684
2.68586,64.74688094
2.69089,64.775433
2.69582,64.84681313
2.70086,64.86414831
2.70573,64.77237385
2.71093,64.89372008
2.71575,64.93246929
2.72089,65.13131396
2.72577,65.19147721
2.73091,65.15782658
2.73578,65.19249693
