Extension,Load
0,0.00815773
0.00632,1.600954454
0.00728,3.006123396
0.00809,4.421489499
0.00873,5.709391076
0.00964,7.075810802
0.01055,8.361672946
0.01152,9.702599766
0.01275,11.06290119
0.01387,12.36813795
0.01559,13.68561129
0.01827,14.98676918
0.02319,15.70260996
0.02823,15.88819831
0.03321,15.98201221
0.03825,15.49662729
0.04296,16.79166688
0.04693,18.10914023
0.04843,19.39602209
0.04977,20.73898834
0.05164,22.08297431
0.05362,23.37699418
0.05534,24.70160554
0.05748,25.97829024
0.05962,27.29474387
0.0645,28.0258804
0.06959,28.08298451
0.07457,28.11051684
0.07961,28.03811699
0.08459,27.92696792
0.08962,27.94124395
0.09455,27.91473133
0.09964,27.85660751
0.10457,27.89535672
0.10966,27.8688441
0.11459,27.82193715
0.11962,27.94634253
0.12455,27.88210041
0.12964,27.95959884
0.13446,27.91167218
0.1396,27.98611147
0.14448,28.01670295
0.14952,28.04933387
0.1545,28.07278734
0.15953,27.97795374
0.16452,28.15028578
0.1696,28.30528264
0.17448,28.33689384
0.17952,28.23594194
0.1845,28.29712491
0.18953,28.38176136
0.19446,28.25429683
0.19961,28.23288279
0.20448,28.1329506
0.20952,28.19923215
0.2145,28.18189698
0.21953,28.29712491
0.22457,28.4031754
0.22944,28.58162573
0.23459,28.62853268
0.23952,28.67645934
0.24455,28.81921961
0.24943,28.65096644
0.25457,28.85388996
0.25939,28.89569833
0.26459,29.0384586
0.26946,29.17510057
0.2746,29.34845233
0.27948,29.44532537
0.28452,29.47795628
0.2895,29.65334747
0.29453,29.63397287
0.29952,29.6737418
0.3046,29.66864322
0.30948,29.63703201
0.31457,29.63907145
0.31955,29.73900364
0.32464,29.91745397
0.32957,29.99699184
0.3346,30.1519887
0.33959,30.24274344
0.34468,30.41915435
0.34837,31.74988401
0.35303,33.03064757
0.35802,33.42935661
0.36305,33.68326595
0.36798,34.27062249
0.37296,34.84676215
0.37805,35.06906028
0.38303,35.1710319
0.38802,35.2842204
0.39294,35.37089628
0.39809,35.53201144
0.40296,35.57891839
0.40805,35.74615185
0.41303,35.95315424
0.41796,36.15505805
0.423,36.48748553
0.42809,36.72507941
0.43302,36.91576634
0.43805,36.98612676
0.44298,37.11053214
0.44812,37.32059368
0.453,37.55104954
0.45803,37.77946597
0.46296,38.02317815
0.4681,38.2087665
0.47293,38.31073812
0.47807,38.47083357
0.48305,38.60441639
0.48814,38.78490616
0.49302,39.03167748
0.4981,39.24683761
0.50309,39.40897248
0.50812,39.48341177
0.51305,39.58436367
0.51814,39.64146778
0.52302,39.8188984
0.5281,39.91067286
0.53309,39.96879668
0.53818,40.06159086
0.54311,40.12175412
0.54814,40.23494262
0.55302,40.16254276
0.5581,40.47559564
0.56298,40.97015801
0.56812,41.56057369
0.57294,42.1397725
0.57803,43.26757863
0.58039,44.55344078
0.58269,45.882131
0.58478,47.23019584
0.58634,48.52319599
0.58827,49.8692214
0.59003,51.22952282
0.59175,52.53985816
0.5933,53.84509491
0.59502,55.15950911
0.59716,56.46474586
0.6,57.75978545
0.60493,58.61226821
0.61002,59.35360189
0.61489,59.26182743
0.62009,59.6054718
0.62496,59.79207986
0.63005,60.0959553
0.63487,59.86855858
0.64007,59.65747732
0.64494,59.01403639
0.64998,59.20472333
0.65496,59.41886373
0.66005,59.68297023
0.66493,60.04904835
0.67007,60.01743715
0.67494,59.5300128
0.67998,60.08269898
0.68491,59.56366343
0.68989,59.30567523
0.69493,59.74619263
0.69996,59.83286851
0.70489,59.5238945
0.70998,58.95693229
0.71486,59.10785029
0.71989,59.24959084
0.72487,59.55142684
0.72986,59.5238945
0.73494,59.1465995
0.73982,58.63368225
0.74496,57.99024132
0.74989,57.71185879
0.75493,57.53544788
0.75985,57.92395976
0.76494,57.71695737
0.76928,56.43721352
0.77443,55.48887745
0.7793,54.78425354
0.78439,54.21831104
0.78932,53.67990088
0.79435,53.17616107
0.79934,52.91715316
0.80443,52.75603799
0.80935,52.38588101
0.81444,51.925989
0.81932,51.3100804
0.82446,51.22340453
0.82934,50.87772073
0.83448,50.61565366
0.83935,50.46269623
0.84444,50.27302902
0.84932,49.95691699
0.85446,49.50722214
0.85934,49.07894133
0.86437,48.59049726
0.86935,48.16425589
0.87444,47.83386783
0.87937,47.44637567
0.88446,47.36581809
0.88939,47.23325499
0.89437,47.14148053
0.8993,46.94671473
0.90434,46.80599389
0.90932,46.40728485
0.91441,46.02489127
0.91928,45.76282421
0.92443,45.65065542
0.92925,45.28049844
0.93428,44.93073578
0.93927,44.65133353
0.94425,44.51673099
0.94939,44.41475937
0.95427,44.34439895
0.95935,44.25058506
0.96428,44.05887841
0.96932,43.7998705
0.97425,43.61326243
0.97934,43.4919162
0.98432,43.38790515
0.98941,43.29409125
0.99428,43.36853054
0.99937,43.31244615
1.0043,43.36241224
1.00934,43.40014174
1.01427,43.31958416
1.01941,43.25840119
1.02428,43.16356758
1.02937,43.17988304
1.03425,43.15133098
1.03944,43.12787751
1.04432,43.007551
1.04941,43.08708886
1.05439,43.26248005
1.05932,43.41849663
1.0643,43.58369066
1.06944,43.5551386
1.07437,43.43277266
1.07941,43.31856444
1.08439,43.29103211
1.08948,43.43175294
1.09441,43.50619223
1.0995,43.70911575
1.10437,43.68158342
1.10946,43.74276639
1.11439,43.74684525
1.11943,43.85595489
1.12441,43.95282793
1.12944,43.96608424
1.13432,44.04358267
1.13946,44.24548648
1.14428,44.27913712
1.14937,44.19042181
1.15425,44.15779089
1.15934,44.11496281
1.16432,44.16186975
1.1693,44.30463002
1.17434,44.28831456
1.17932,44.40864108
1.1843,44.41985795
1.18928,44.51775071
1.19432,44.51265213
1.1993,44.34847782
