Extension,Load
0,0.030591486
0.00493,0.977907848
0.00557,2.360643033
0.00611,3.939163731
0.00648,5.402456496
0.00686,6.972819464
0.00734,8.623740013
0.00761,9.901444428
0.00793,11.20566146
0.0082,12.52619396
0.00852,13.85182504
0.00878,15.16521952
0.00905,16.46127883
0.00948,18.15094859
0.00991,19.80390857
0.01029,21.45278969
0.01071,23.10065109
0.01109,24.73423646
0.01146,26.32091489
0.01184,27.84743006
0.01232,29.35559034
0.01275,30.88618437
0.01312,32.45144876
0.0135,34.01263428
0.01387,35.51467627
0.01425,36.93718038
0.01462,38.28524522
0.01511,39.82603641
0.01559,41.17308153
0.01623,42.52930409
0.01698,43.80904794
0.01934,45.08981151
0.02362,46.37363422
0.02716,47.68396955
0.03198,48.89335298
0.0345,50.19451087
0.03964,50.33013312
0.04457,50.19757002
0.04966,50.0517506
0.05464,49.94162125
0.05957,49.89369458
0.06461,49.94162125
0.0697,49.63774582
0.07462,49.49906441
0.07961,49.77642722
0.08464,49.68873163
0.08973,49.8314919
0.09466,49.96201557
0.0997,50.18737285
0.10462,50.02523798
0.10971,50.17105739
0.11464,49.98037046
0.11968,49.60409518
0.12466,49.62754865
0.1297,49.7121851
0.13457,49.64794298
0.13971,49.53475448
0.14454,49.39097449
0.14962,49.41748711
0.15455,49.38077733
0.15959,49.39505336
0.16457,49.36038301
0.16961,49.56942483
0.17459,49.66731759
0.17962,49.82129473
0.18455,49.79784126
0.18953,49.87635941
0.19462,49.9263255
0.19961,49.50110384
0.20459,50.03033656
0.20957,49.88655657
0.21461,50.09151953
0.21959,50.04053372
0.22462,50.13026875
0.2295,49.964055
0.23464,50.12415045
0.23952,50.42802588
0.24461,50.51674119
0.24948,50.3790795
0.25468,50.39947383
0.2595,50.43924276
0.26464,50.35052745
0.26957,50.58302274
0.27455,50.55039183
0.27953,50.65236345
0.28462,50.70029011
0.28955,50.85630669
0.29459,50.79614343
0.29957,50.77370968
0.30466,50.9827515
0.30959,51.23870027
0.31468,51.53543769
0.31961,51.79036674
0.3247,51.80158362
0.32957,52.1717406
0.33466,52.16664202
